"name","prompt"
"Ｃ・Ｃ・Ｃ","Ｃ・Ｃ・Ｃ"
"アメスク","american school uniform"
"ウエディングドレス","wedding dress"
"ウエディングビキニ","bridal bikini, bridal veil"
"エルーン用","エルーン用"
"おしゃれ着","formal clothes"
"オルターエゴ・マリシャス","オルターエゴ・マリシャス"
"キャットランジェリー","cat lingerie"
"クマの着ぐるみ","bear kigurumi"
"ゴールデンバブリードレス","gold dress"
"サキュバスギャル服","サキュバスギャル服"
"サキュバスチアコス","succubus costume, cheerleader outfit"
"サンバ衣装","samba costume"
"シースルーレオタード","see-through leotard"
"シュヴァリエール","シュヴァリエール"
"スーパーセクシー巫女服","revealing miko outfit"
"すけすけボディースーツ","see-through bodysuit"
"スターリースカイ・ブライト","スターリースカイ・ブライト"
"スモック","smock"
"スリングショット","slingshot swimsuit"
"セクシーキョンシー","jiangshi costume"
"セクシーチア","cheerleader outfit"
"セクシーポリス","police uniform"
"セクシーランジェリー","lingerie"
"セクシー巫女服","revealing miko outfit"
"チアリーダー","cheerleader outfit"
"チェリーハントセーター","cutout sweater"
"チャイナドレス","china dress"
"ツクヨミのアバター","ツクヨミのアバター"
"つやつや光沢服","shiny clothes"
"つやつや従業員制服","shiny clothes, hotel staff uniform"
"ディアンドル","dirndl"
"デンジャラスビースト","デンジャラスビースト"
"ドラフ用","ドラフ用"
"トリック・オア・トリートメント","トリック・オア・トリートメント"
"ナース服","nurse uniform"
"ハーヴィン用","ハーヴィン用"
"バージンキラーセーター","virgin killer sweater"
"バスケユニ","basketball uniform"
"バスローブ","bathrobe"
"バックレスセーター","backless sweater"
"バニー服","bunny suit"
"ビキニ","bikini"
"ヒューマン用","ヒューマン用"
"ビヨンドザブルースカイ","ビヨンドザブルースカイ"
"ブーム・アンド・ショック","ブーム・アンド・ショック"
"プランジングネック","one-piece swimsuit, plunging neckline"
"フロントオープンセーター","front cutout sweater"
"ボーイレッグ・ビキニ","bikini, boyshorts"
"ホワイトタキシード","white tuxedo"
"マイクロビキニ","micro bikini"
"マッサージ着","massage robe"
"ミッドナイト・サキュバス","ミッドナイト・サキュバス"
"ミニスカサンタ","santa costume, miniskirt"
"ミニチャイナ","short china dress"
"ミニメイド服","maid outfit, miniskirt"
"メイド服","maid outfit"
"ユスティナ聖徒会礼装","ユスティナ聖徒会礼装"
"ヨガウェア","yoga clothes"
"リゾートEGO：紅籍","リゾートEGO：紅籍"
"リゾート警備制服","security guard uniform"
"リゾート従業員制服","hotel staff uniform"
"レオタード","leotard"
"ロイヤル・アイシング","ロイヤル・アイシング"
"ロングドレス","long dress"
"ワンピース","one-piece swimsuit"
"愛玩具","愛玩具"
"淫蕩のアロハスタイル","open hawaiian shirt"
"下タイツ","pantyhose"
"下半身下着_1","underwear"
"下半身下着_-1","crotchless underwear"
"下半身下着_2","maebari"
"下半身下着_-2","genital piercing"
"下半身下着_3","fundoshi"
"下半身下着_-3","genital tag"
"下半身下着_4","ribbon panties"
"下半身裸","bottomless"
"花魁ノ御華","花魁ノ御華"
"学生服","school uniform"
"喫茶店従業員服","cafe uniform, apron"
"喫茶店従業員服（特殊業務）","cafe uniform, apron"
"逆バニー","reverse bunny suit"
"拘束服","straitjacket"
"至高の獅子王バニー","至高の獅子王バニー"
"修道服","nun habit"
"上タイツ","bodystocking"
"上半身下着_1","bra"
"上半身下着_-1","open-cup bra"
"上半身下着_2","pasties"
"上半身下着_-2","nipple piercings"
"上半身下着_3","sarashi"
"上半身下着_-3","nipple tags"
"上半身下着_4","ribbon bra"
"上半身裸","topless"
"常夏のアロハスタイル","hawaiian shirt"
"水着","swimsuit"
"晴れ着","kimono"
"生き恥ウエディングドレス","生き恥ウエディングドレス"
"全裸","nude"
"体操着","gym uniform"
"逮捕しちゃうゾ","police uniform"
"桃色の欲望","桃色の欲望"
"湯上がり","bathrobe"
"湯浴み着","towel, wrapped towel"
"肉色の欲望","肉色の欲望"
"破戒修道服","revealing nun habit"
"白いワンピース","white dress"
"汎用","汎用"
"普通のオーバーオール","overalls"
"部屋着","loungewear"
"浴衣","yukata"
"裸エプロン","naked apron"
"裸ミニスカオーバーオール","overall skirt, no shirt"
"裸リボン","ribbon, nude"
"巫女装束","miko outfit"
"蠱惑の舞姫","蠱惑の舞姫"
